Date,country,Grocery & pharmacy,Parks,Residential,Retail & recreation,Transit stations,Workplace
2020-02-18,South Africa,-11.753,-7.382,0.9,-11.836,-0.29,3.838
2020-02-18,South Korea,-2.391,1.292,1.89,-2.743,-3.665,1.73
2020-02-18,Spain,0.458,7.273,-0.5,-1.002,2.813,3.254
2020-02-18,Sweden,0.593,16.367,1.028,1.267,-3.575,-5.16
2020-02-18,Tanzania,-1.635,-1.088,1.18,-1.122,-1.139,-0.018
2020-02-18,Thailand,-1.244,-4.23,1.505,-3.684,-5.821,0.198
2020-02-18,Turkey,4.443,9.167,-2.022,2.399,2.164,8.547
2020-02-18,United Kingdom,-1.263,15.719,2.428,6.56,-3.036,-13.611
2020-02-18,United States,-0.305,8.093,0.433,1.171,0.862,-1.798
2020-02-18,Uruguay,-1.526,-11.886,-0.008,-0.762,-1.443,6.804
2020-02-18,Zambia,-8.617,-0.199,2.434,-6.74,-5.261,5.749
2020-02-19,Aruba,-5.374,2.408,2.995,2.069,14.55,-13.609
2020-02-19,Australia,-0.489,-2.768,-1.404,-0.379,8.095,13.15
2020-02-19,Belarus,7.418,10.402,-1.289,7.996,7.901,5.092
2020-02-19,Belgium,0.106,10.107,-0.067,1.348,3.936,3.761
2020-02-19,Bosnia and Herzegovina,2.091,7.252,-0.863,2.104,5.866,8.049
2020-02-19,Brazil,1.544,-1.558,-1.301,-0.087,9.044,14.61
2020-02-19,Bulgaria,1.014,6.492,-0.742,0.314,4.541,2.476
2020-02-19,Cambodia,-2.19,0.07,2.192,-1.836,-20.423,5.353
2020-02-19,Canada,2.172,10.55,0.206,2.208,-0.316,0.465
2020-02-19,Chile,6.519,11.055,0.9,-0.758,-2.97,-6.63
2020-02-19,Colombia,-4.478,-4.952,-1.573,-4.962,4.631,11.032
2020-02-19,Croatia,2.175,11.616,-0.074,3.829,2.134,0.485
2020-02-19,Czechia,1.341,9.41,0.226,4.039,-1.086,-2.367
2020-02-19,Denmark,-0.508,6.547,0.964,0.522,-1.544,-1.405
2020-02-19,Ecuador,-0.041,2.968,1.073,3.808,1.888,-8.341
2020-02-19,France,-1.977,22.217,2.319,-2.916,-5.06,-12.91
2020-02-19,Gabon,-7.914,-1.985,1.549,-5.207,-4.9,2.63
2020-02-19,Germany,-0.065,8.956,0.62,3.046,0.681,-2.413
2020-02-19,Greece,3.616,12.788,-1.46,6.243,5.444,3.763
2020-02-19,Guatemala,-2.174,0.361,0.067,-0.758,-0.708,2.973
2020-02-19,Honduras,-0.469,0.392,-1.188,-4.41,-2.702,8.331
2020-02-19,Hungary,1.977,16.072,-0.462,3.381,2.721,2.228
2020-02-19,Indonesia,-2.244,-1.84,0.843,-2.436,1.138,0.936
2020-02-19,Iraq,8.259,7.714,0.213,9.852,11.942,10.217
2020-02-19,Italy,0.024,13.152,-0.284,0.911,3.255,0.816
2020-02-19,Japan,2.685,6.615,0.34,0.17,-2.741,0.147
2020-02-19,Kenya,-2.608,2.547,0.429,1.062,2.722,1.094
2020-02-19,Laos,-0.292,0.401,1.531,-1.38,-5.493,9.54
2020-02-19,Latvia,0.301,6.363,-0.016,0.658,1.192,1.815
2020-02-19,Lithuania,1.059,17.822,2.25,2.483,-0.283,-14.396
2020-02-19,Luxembourg,-6.853,-4.702,3.421,-5.951,-11.929,-22.787
2020-02-19,Malta,3.144,19.286,-0.602,7.485,7.629,2.902
2020-02-19,Mexico,-0.076,1.794,-1.093,0.02,2.823,7.555
2020-02-19,Mozambique,-7.387,-5.359,-2.556,-6.603,-3.997,13.259
2020-02-19,Netherlands,-0.308,10.614,0.893,2.327,-2.944,-5.101
2020-02-19,New Zealand,1.373,-1.053,-1.799,0.808,11.068,15.353
2020-02-19,North Macedonia,3.432,4.303,-0.948,0.797,2.86,1.675
2020-02-19,Norway,1.49,29.162,0.805,3.68,-4.68,-12.732
2020-02-19,Papua New Guinea,-3.793,-10.815,0.58,0.379,-2.592,9.133
2020-02-19,Poland,0.204,17.669,-0.099,5.656,0.543,1.007
2020-02-19,Qatar,-2.319,7.223,1.325,-2.306,-1.02,3.52
2020-02-19,Romania,3.359,-2.595,-0.869,2.171,3.689,2.336
2020-02-19,Singapore,-13.181,-6.859,7.235,-14.235,-13.942,-5.109
2020-02-19,Slovakia,-0.474,30.529,0.62,3.977,0.22,-7.54
2020-02-19,Slovenia,0.912,14.764,0.41,3.782,-2.663,-9.858
2020-02-19,South Africa,-10.208,-6.179,0.243,-9.543,-0.783,3.264
2020-02-19,South Korea,-1.777,11.314,2.364,-5.912,-5.099,1.28
2020-02-19,Spain,1.052,11.879,-0.806,0.24,2.908,3.24
2020-02-19,Sweden,1.235,16.573,1.091,2.72,-3.813,-5.623
2020-02-19,Tanzania,-1.211,-1.83,1.11,-0.629,0.597,-0.184
2020-02-19,Thailand,-2.154,-3.077,1.46,-3.9,-5.152,0.586
2020-02-19,Turkey,2.548,4.63,-1.531,-0.435,0.082,9.459
2020-02-19,United Kingdom,-1.818,7.441,2.664,5.469,-4.209,-13.822
2020-02-19,United States,-0.14,7.025,0.309,1.636,0.971,0.804
2020-02-19,Uruguay,-1.036,-7.483,-0.627,1.184,1.097,6.925
2020-02-19,Zambia,-12.294,-1.964,3.039,-8.521,-7.451,3.345
2020-02-20,Aruba,2.442,3.201,0.847,5.197,17.864,-13.435
2020-02-20,Australia,1.9,2.608,-2.097,1.326,9.889,14.107
2020-02-20,Belarus,8.099,15.688,-1.404,9.836,7.978,5.526
2020-02-20,Belgium,0.466,7.767,0.011,-1.45,4.287,2.535
2020-02-20,Bosnia and Herzegovina,2.831,5.207,-1.086,1.43,6.489,8.776
2020-02-20,Brazil,7.83,1.982,-1.703,1.507,11.248,14.393
2020-02-20,Bulgaria,0.94,-6.35,-0.602,-1.868,3.963,2.476
2020-02-20,Cambodia,-1.508,0.826,2.301,-0.68,-20.869,5.48
2020-02-20,Canada,2.299,12.482,0.201,4.396,-0.78,0.06
2020-02-20,Chile,5.139,11.111,1.263,-1.964,-3.701,-6.847
2020-02-20,Colombia,-2.98,-5.759,-0.567,-3.736,3.998,9.065
2020-02-20,Croatia,2.567,12.335,-0.207,3.859,3.676,0.44
2020-02-20,Czechia,2.458,12.014,0.105,3.383,-0.226,-2.671
2020-02-20,Denmark,-0.733,3.002,1.009,1.048,-1.206,-2.062
2020-02-20,Ecuador,0.413,2.801,1.862,2.554,0.702,-11.831
2020-02-20,France,-1.453,28.573,2.775,-1.345,-2.754,-15.054
2020-02-20,Gabon,-8.075,-6.382,2.667,-7.592,-7.299,1.996
2020-02-20,Germany,-0.202,13.84,1.091,2.247,1.589,-5.576
2020-02-20,Greece,-1.158,3.563,-0.8,2.653,2.745,2.704
2020-02-20,Guatemala,-1.602,0.518,-0.182,-1.699,-2.063,3.262
2020-02-20,Honduras,-0.201,-1.705,-1.499,-3.462,-2.411,8.942
2020-02-20,Hungary,2.115,9.907,-0.169,3.727,2.99,1.539
2020-02-20,Indonesia,-1.516,-2.276,0.62,-1.709,2.841,2.46
2020-02-20,Iraq,8.744,10.562,0.714,10.944,11.809,9.772
2020-02-20,Italy,1.015,18.147,-0.5,1.7,4.775,0.395
2020-02-20,Japan,3.305,4.598,0.557,0.156,-2.512,0.16
